Question,Answer
국세기본법상 납세의무가 성립하는 때에 특별한 절차 없이 그 세액이 확정되는 국세이다: 인지세,Yes
국세기본법상 납세의무가 성립하는 때에 특별한 절차 없이 그 세액이 확정되는 국세이다: 원천징수하는 소득세 또는 법인세,Yes
국세기본법상 납세의무가 성립하는 때에 특별한 절차 없이 그 세액이 확정되는 국세이다: 납세조합이 징수하는 소득세,Yes
국세기본법상 납세의무가 성립하는 때에 특별한 절차 없이 그 세액이 확정되는 국세이다: 중간예납하는 법인세(세법에 따라 정부가 조사결정하는 경우로 한정한다),No
국세기본법상 납세의무가 성립하는 때에 특별한 절차 없이 그 세액이 확정되는 국세이다: 원천징수 등 납부지연가산세(납부고지서에 따른 납부기한 후의 가산세로 한정한다),Yes
국세징수법상 고액상습체납자에 대하여 행할 수 있는 사항: 관할 세무서장은 체납 발생일부터 1년이 지난 국세의 합계액이 2억원 이상인 경우에 체납자의 수입물품에 대한 강제징수를 세관장에게 위탁할 수 있다,Yes
국세징수법상 고액상습체납자에 대하여 행할 수 있는 사항: 국세청장은 체납발생일부터 2년이 지난 국세의 합계액이 2억원 이상인 경우에 체납자의 인적사항 및 체납액 등을 공개할 수 있으나 체납된 국세와 관련하여 심판청구가 계속 중인 경우에는 공개할 수 없다,Yes
국세징수법상 고액상습체납자에 대하여 행할 수 있는 사항: 국세청장은 체납 발생일부터 1년이 지난 국세의 합계액이 2억원 이상인 경우에 체납자의 주소 또는 거소를 관할하는 지방검찰청 또는 지청의 검사에게 체납자의 감치를 신청할 수 있다,No
국세징수법상 고액상습체납자에 대하여 행할 수 있는 사항: 법원의 결정으로 30일의 범위에서 체납된 국세가 납부될 때까지 체납자를 감치에 처할 수 있으며 감치의 집행 중에 체납된 국세를 납부한 경우 감치집행을 종료하여야 한다.,Yes
"국세징수법상 고액상습체납자에 대하여 행할 수 있는 사항: 국세청장은 정당한 사유 없이 5천만원 이상의 국세를 체납한 자 중 명단이 공개된 고액상습체납자로서 관할 세무서장이 압류공매 담보 제공 보증인의 납세보증서 등으로 조세채권을 확보할 수 없고, 강제징수를 회피할 우려가 있다고 인정하는 사람에 대하여 법무부장관에게 출국금지를 요청하여야 한다",Yes